make_model,price,body_type,type,warranty,mileage,gearbox,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,extras,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,entertainment_&_media_Package,safety_&_security_Package
Mercedes-Benz A 180,25990.0,Compact,Used,No,67626.0,Automatic,Benzine,Dealer,1332.0,7.0,121.0,Front,7,1295.0,Yes,Cloth,1.0,unefficient,2.0,100.0,5.3,Premium,Plus,Safety Premium Package
Mercedes-Benz A 180,27800.0,Compact,Used,Yes,61618.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,29999.0,Compact,Used,No,17115.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,1,1295.0,No,Cloth,1.0,unefficient,2.0,100.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,27900.0,Compact,Used,Yes,19785.0,Automatic,Benzine,Dealer,1461.0,7.0,126.0,Front,1,1295.0,No,Cloth,1.0,unefficient,1.0,100.0,5.4,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,27490.0,Compact,Used,Yes,91754.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1455.0,No,Cloth,2.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,24780.0,Compact,Used,No,46403.0,Automatic,Benzine,Dealer,1595.0,7.0,130.0,Front,5,1370.0,Yes,Cloth,3.0,unefficient,4.0,90.0,5.5,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,9770.0,Compact,Used,No,49658.0,Manual,Benzine,Dealer,1699.0,5.0,156.0,Front,2,1260.0,No,Cloth,2.0,unefficient,10.0,85.0,6.6,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,23850.0,Compact,Used,Yes,71098.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,3.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,31950.0,Compact,Used,No,23644.0,Automatic,Benzine,Dealer,1332.0,7.0,121.0,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,0.0,100.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,25000.0,Compact,Used,Yes,78300.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,1,1365.0,No,Part/Full Leather,2.0,unefficient,3.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,14700.0,Compact,Used,Yes,93914.0,Manual,Diesel,Dealer,1461.0,6.0,92.0,Front,3,1295.0,No,Part/Full Leather,2.0,unefficient,7.0,80.0,3.8,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,8950.0,Compact,Used,Yes,199000.0,Automatic,Diesel,Dealer,1991.0,1.0,99.5,Front,1,1345.0,No,Part/Full Leather,2.0,unefficient,10.0,80.0,5.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,10950.0,Compact,Used,No,194367.0,Manual,Diesel,Dealer,1461.0,6.0,92.0,Front,1,1285.0,Yes,Part/Full Leather,2.0,unefficient,8.0,80.0,3.6,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,16750.0,Compact,Used,No,184748.0,Automatic,Diesel,Dealer,1461.0,6.0,98.0,Front,2,1325.0,No,Part/Full Leather,1.0,unefficient,5.0,80.0,3.7,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,12950.0,Compact,Used,No,236233.0,Manual,Diesel,Dealer,1461.0,6.0,89.0,Front,2,1285.0,No,Part/Full Leather,2.0,unefficient,6.0,80.0,3.5,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,12445.0,Compact,Used,No,177477.0,Manual,Diesel,Dealer,1461.0,6.0,89.0,Front,1,1285.0,Yes,Part/Full Leather,2.0,unefficient,6.0,80.0,3.5,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,14945.0,Compact,Used,Yes,188018.0,Automatic,Benzine,Dealer,1595.0,8.0,131.0,Front,4,1295.0,Yes,Part/Full Leather,2.0,unefficient,8.0,90.0,5.6,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,16950.0,Compact,Used,Yes,165282.0,Manual,Diesel,Dealer,1461.0,6.0,105.0,Front,3,1295.0,No,Part/Full Leather,2.0,unefficient,10.0,80.0,4.0,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,19950.0,Compact,Used,No,141989.0,Manual,Diesel,Dealer,1461.0,6.0,102.0,Front,3,1295.0,No,Part/Full Leather,1.0,unefficient,5.0,80.0,3.9,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,6400.0,Compact,Used,Yes,179000.0,Automatic,Diesel,Dealer,1991.0,6.0,99.5,Front,1,1345.0,No,Part/Full Leather,2.0,unefficient,16.0,80.0,5.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,13990.0,Compact,Used,Yes,123000.0,Manual,Diesel,Dealer,1991.0,6.0,99.5,Front,1,1345.0,No,Part/Full Leather,2.0,unefficient,10.0,80.0,5.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,23990.0,Compact,Used,Yes,51078.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,4.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,16800.0,Compact,Used,No,154000.0,Automatic,Diesel,Dealer,1500.0,7.0,102.0,Front,5,1295.0,No,Part/Full Leather,1.0,unefficient,8.0,80.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,23990.0,Compact,Used,Yes,51078.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,4.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,27800.0,Compact,Used,Yes,61618.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Part/Full Leather,2.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,26850.0,Compact,Used,Yes,25681.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,1,1365.0,No,Part/Full Leather,3.0,unefficient,2.0,100.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,31450.0,Compact,Used,No,99597.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,4,1325.0,Yes,Part/Full Leather,1.0,unefficient,3.0,85.0,4.6,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,17944.0,Compact,Used,No,99939.0,Manual,Benzine,Dealer,1595.0,6.0,131.0,Front,2,1270.0,Yes,Part/Full Leather,1.0,unefficient,6.0,90.0,5.6,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,23536.0,Compact,Used,Yes,29721.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,12245.0,Compact,Used,Yes,140230.0,Manual,Diesel,Dealer,1461.0,6.0,92.0,Front,1,1285.0,Yes,Cloth,2.0,unefficient,9.0,80.0,3.6,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,27800.0,Compact,Used,Yes,61618.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Cloth,2.0,unefficient,4.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,16945.0,Compact,Used,No,135462.0,Automatic,Benzine,Dealer,1595.0,7.0,124.0,Front,3,1295.0,No,Cloth,2.0,unefficient,7.0,90.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,26980.0,Compact,Used,No,82571.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,6,1295.0,No,Part/Full Leather,2.0,unefficient,4.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,18945.0,Compact,Used,Yes,96488.0,Automatic,Benzine,Dealer,1595.0,8.0,124.0,Front,6,1295.0,Yes,Part/Full Leather,3.0,unefficient,7.0,90.0,5.3,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,22950.0,Compact,Used,No,109275.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,4,1295.0,Yes,Part/Full Leather,2.0,unefficient,4.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,12295.0,Compact,Used,No,161839.0,Manual,Benzine,Dealer,1595.0,6.0,128.0,Front,2,1270.0,Yes,Part/Full Leather,2.0,unefficient,9.0,90.0,5.5,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,27400.0,Compact,Used,Yes,96300.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,2.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,34950.0,Compact,Used,No,74458.0,Automatic,Benzine,Dealer,1332.0,7.0,122.0,Front,4,1265.0,Yes,Part/Full Leather,2.0,unefficient,4.0,100.0,5.3,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,35950.0,Compact,Used,No,14683.0,Automatic,Benzine,Dealer,1332.0,7.0,126.0,Front,4,1265.0,Yes,Part/Full Leather,1.0,unefficient,1.0,100.0,6.1,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,18750.0,Compact,Used,No,108208.0,Manual,Benzine,Dealer,1595.0,6.0,126.0,Front,2,1295.0,Yes,Part/Full Leather,3.0,unefficient,7.0,90.0,5.4,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,15250.0,Compact,Used,Yes,100532.0,Manual,Benzine,Dealer,1595.0,6.0,133.0,Front,4,1270.0,Yes,Part/Full Leather,1.0,unefficient,9.0,90.0,5.7,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,27250.0,Compact,Used,No,86000.0,Automatic,Diesel,Dealer,1461.0,6.0,0.0,Front,12,1295.0,Yes,Cloth,1.0,unefficient,3.0,85.0,8.0,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,28590.0,Compact,Used,Yes,70840.0,Automatic,Diesel,Dealer,1461.0,7.0,108.0,Front,3,1345.0,No,Part/Full Leather,2.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,23190.0,Compact,Used,No,25919.0,Automatic,Diesel,Dealer,1500.0,7.0,103.0,Front,2,1445.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,0.0,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,13950.0,Compact,Used,Yes,133773.0,Manual,Benzine,Dealer,1595.0,6.0,120.0,Front,1,1260.0,Yes,Part/Full Leather,3.0,unefficient,9.0,90.0,5.2,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,17995.0,Compact,Used,No,198291.0,Manual,Diesel,Dealer,1461.0,6.0,89.0,Front,2,1285.0,Yes,Part/Full Leather,2.0,unefficient,4.0,79.0,3.5,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,17950.0,Compact,Used,No,75594.0,Manual,Benzine,Dealer,1595.0,6.0,120.0,Front,4,1270.0,Yes,Part/Full Leather,1.0,unefficient,6.0,90.0,5.2,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,26890.0,Compact,Used,Yes,29999.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,3.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,18999.0,Compact,Used,No,96010.0,Automatic,Diesel,Dealer,1461.0,7.0,98.0,Front,3,1325.0,Yes,Part/Full Leather,1.0,unefficient,6.0,80.0,3.7,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,28490.0,Compact,Used,No,33349.0,Automatic,Diesel,Dealer,1950.0,7.0,121.0,Front,9,1295.0,Yes,Cloth,1.0,unefficient,1.0,85.0,4.6,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,17950.0,Compact,Used,No,132111.0,Automatic,Benzine,Dealer,1595.0,7.0,133.0,Front,7,1295.0,No,Part/Full Leather,6.0,unefficient,8.0,90.0,5.7,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,18400.0,Compact,Used,Yes,102998.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,5,1295.0,Yes,Part/Full Leather,3.0,unefficient,7.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,21945.0,Compact,Used,Yes,50340.0,Automatic,Benzine,Dealer,1595.0,7.0,121.0,Front,6,1295.0,Yes,Part/Full Leather,2.0,unefficient,6.0,90.0,5.2,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,21950.0,Compact,Used,Yes,87385.0,Automatic,Benzine,Dealer,1595.0,7.0,0.0,Front,5,1295.0,Yes,Part/Full Leather,3.0,unefficient,7.0,90.0,5.1,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,26950.0,Compact,Used,No,89805.0,Automatic,Benzine,Dealer,1332.0,7.0,122.0,Front,2,1265.0,Yes,Part/Full Leather,1.0,unefficient,3.0,100.0,5.3,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,16850.0,Compact,Used,Yes,113023.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,3,1295.0,Yes,Part/Full Leather,1.0,unefficient,7.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,21995.0,Compact,Used,Yes,109367.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,4,1295.0,Yes,Part/Full Leather,1.0,unefficient,5.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,26245.0,Compact,Used,No,44319.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,4,1295.0,Yes,Part/Full Leather,2.0,unefficient,4.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,21995.0,Compact,Used,No,92469.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,5,1295.0,No,Part/Full Leather,4.0,unefficient,5.0,90.0,5.4,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,27890.0,Compact,Used,Yes,38236.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,8,1295.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,3.9,Premium,Plus,Safety Premium Package
Mercedes-Benz A 180,13845.0,Compact,Used,No,123617.0,Manual,Diesel,Dealer,1461.0,6.0,92.0,Front,3,1285.0,No,Part/Full Leather,6.0,unefficient,8.0,80.0,3.6,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,27490.0,Compact,Used,Yes,25780.0,Manual,Benzine,Dealer,1332.0,6.0,121.0,Front,6,1295.0,No,Part/Full Leather,1.0,unefficient,2.0,100.0,5.3,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,29490.0,Compact,Used,Yes,22042.0,Automatic,Diesel,Dealer,1950.0,7.0,121.0,Front,9,1295.0,Yes,Cloth,1.0,unefficient,1.0,85.0,4.6,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,19999.0,Compact,Used,Yes,73301.0,Automatic,Diesel,Dealer,1461.0,7.0,104.0,Front,1,1295.0,No,Cloth,2.0,unefficient,4.0,81.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,30899.0,Compact,Used,No,29500.0,Automatic,Benzine,Dealer,1332.0,7.0,127.0,Front,4,1265.0,No,Cloth,1.0,unefficient,3.0,100.0,5.2,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,32750.0,Compact,Used,Yes,49444.0,Automatic,Benzine,Dealer,1332.0,7.0,138.0,Front,5,1265.0,Yes,Part/Full Leather,2.0,unefficient,2.0,100.0,4.1,Standard,Plus,Safety Premium Package
Mercedes-Benz A 180,21490.0,Compact,Used,No,67120.0,Automatic,Benzine,Dealer,1595.0,7.0,119.0,Front,1,1295.0,Yes,Part/Full Leather,2.0,unefficient,6.0,90.0,5.3,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,20999.0,Compact,Used,Yes,71482.0,Automatic,Diesel,Dealer,1461.0,7.0,101.0,Front,1,1295.0,No,Part/Full Leather,2.0,unefficient,4.0,81.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,18995.0,Compact,Used,No,99533.0,Automatic,Benzine,Dealer,1595.0,7.0,133.0,Front,5,1295.0,No,Part/Full Leather,6.0,unefficient,8.0,90.0,5.7,Premium,Standard,Safety Premium Package
Mercedes-Benz A 180,6800.0,Compact,Used,Yes,191074.0,Manual,Diesel,Dealer,1991.0,6.0,99.5,Front,1,1345.0,No,Part/Full Leather,3.0,unefficient,10.0,80.0,5.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,15590.0,Compact,Used,Yes,270000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Part/Full Leather,3.0,unefficient,9.0,80.0,3.9,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,23868.0,Compact,Used,Yes,79163.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,2.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,15900.0,Compact,Used,Yes,114000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Part/Full Leather,1.0,unefficient,7.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,15690.0,Compact,Used,Yes,80999.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,1,1395.0,No,Part/Full Leather,1.0,unefficient,5.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,4500.0,Compact,Used,Yes,242000.0,Manual,Diesel,Dealer,1991.0,6.0,99.5,Front,1,1345.0,No,Part/Full Leather,2.0,unefficient,15.0,80.0,5.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,18390.0,Compact,Used,Yes,63871.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,1,1395.0,No,Part/Full Leather,1.0,unefficient,5.0,90.0,5.4,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,23490.0,Compact,Used,Yes,29000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,2,1445.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,26390.0,Compact,Used,Yes,94467.0,Automatic,Diesel,Dealer,1991.0,1.0,99.5,Front,1,1345.0,No,Part/Full Leather,1.0,unefficient,2.0,80.0,5.2,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,30500.0,Compact,Used,Yes,29600.0,Automatic,Diesel,Dealer,1950.0,8.0,99.5,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,1.0,85.0,0.0,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,23868.0,Compact,Used,Yes,79163.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,2.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,16500.0,Compact,Used,Yes,160000.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,7.0,80.0,3.8,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,25490.0,Compact,Used,Yes,28000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1445.0,No,Part/Full Leather,2.0,unefficient,4.0,85.0,3.9,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,23990.0,Compact,Used,Yes,51078.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,4.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,22700.0,Compact,Used,Yes,123462.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Part/Full Leather,1.0,unefficient,3.0,80.0,3.7,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,18390.0,Compact,Used,Yes,63871.0,Automatic,Benzine,Dealer,1595.0,7.0,126.0,Front,1,1395.0,No,Part/Full Leather,1.0,unefficient,5.0,90.0,5.4,Standard,Standard,Safety Standard Package
Mercedes-Benz A 180,17490.0,Compact,Used,Yes,82000.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1425.0,No,Part/Full Leather,6.0,unefficient,8.0,80.0,3.9,Standard,Standard,Safety Premium Plus Package
Mercedes-Benz A 180,23990.0,Compact,Used,Yes,51078.0,Automatic,Diesel,Dealer,1461.0,7.0,99.5,Front,1,1295.0,No,Part/Full Leather,1.0,unefficient,3.0,85.0,4.1,Standard,Standard,Safety Premium Package
Mercedes-Benz A 180,13900.0,Compact,Used,Yes,198000.0,Manual,Diesel,Dealer,1461.0,6.0,99.5,Front,1,1395.0,No,Part/Full Leather,6.0,unefficient,8.0,80.0,4.1,Standard,Standard,Safety Premium Plus Package
